,Emotion,processed_message
0,sadness,humy humiliate
1,sadness,go hopeless damn hop around someon car awak go hopeless damn hopeful around someone care awake
2,anger,grab minut post greedy wrong grab minute post greedy wrong
3,love,ev nostalg fireplac know stil property ever nostalgic fireplace know still property
4,anger,grouchy grouchy
5,sadness,littl burd lat sur little burden lately sure
6,surprise,tak milligram tim recommend amount fal asleep lot fast also lik funny take milligrams time recommend amount fall asleep lot faster also funny
7,fear,confus lif teen jad year old man confuse life teenager jade year old man
8,joy,petrona year petrona perform wel mad hug profit petronas years petronas perform well make huge profit
9,love,rom romantic
10,sadness,lik mak suff see mean someth make suffer see mean something
11,joy,run divin expery expect typ spirit encount run divine experience expect type spiritual encounter
12,anger,think easiest tim year dissatisfy think easiest time year dissatisfy
13,sadness,low energy thirsty low energy thirsty
14,joy,immens sympathy gen point poss proto writ try find tim writ corn lif sign ag let alon publ contract littl precy immense sympathy general point possible proto writer try find time write corner life sign agent let alone publish contract little precious
15,joy,reass anxy sid reassure anxiety side
16,sadness,real embarrass really embarrass
17,sadness,pretty pathet tim pretty pathetic time
18,sadness,start senty dol child beg collect vint barby dol sixty start sentimental dolls child begin collection vintage barbie dolls sixties
19,fear,comprom skept valu every unit work put compromise skeptical value every unit work put
20,anger,irrit reject without anyon anyth say anyth irritate reject without anyone anything say anything
21,fear,complet overwhelm two strategies help ground pour heart journ form let god end list fiv thing grat completely overwhelm two strategies help ground pour heart journal form letter god end list five things grateful
22,joy,amus delight amuse delight
23,joy,abl help cha lifelin support enco gre glad abl help able help chai lifeline support encouragement great glad able help
24,anger,already lik fuck though us eat morn already fuck though usually eat morning
25,sadness,stil lov wish best long tol effect bm liv fact turn bit angry person alway particul kind peopl around stressed still love wish best longer tolerate effect bm live fact turn bitter angry person always particularly kind people around stress
26,sadness,inhibit someon els kitch lik paint someon els pict inhibit someone elses kitchen paint someone elses picture
27,sadness,becom overwhelm def become overwhelm defeat
28,anger,kind appal lik nee explain wid lengh body meas etc pp kind appal need explain wide lenghth body measure etc pp
29,joy,supery dead chick griev child superior dead chicken grieve child
30,joy,get giddy eleg perfect fit pencil skirt get giddy elegant perfectly fit pencil skirt
31,fear,rememb acut distress day remember acutely distress days
32,surprise,seen heard read past coupl day left impress company see hear read past couple days leave impress company
33,anger,climb hil frust id pretty much pac entir wrong cours fact nev ev hamp mad dent day climb hill frustrate id pretty much pace entirely wrong course factor never ever hamper make dent day
34,joy,imagin real lif scenario would emot connect enough someon tot acceiv saf mor acceiv clos prolong phys contact sex expect subsequ imagine real life scenario would emotionally connect enough someone totally accept safe morally acceptable close prolong physical contact sex expect subsequently
35,joy,sur would mak cont anyth sure would make content anything
36,joy,nee cre need creative
37,joy,howev want know someth someon caus less splendid self step away however want know something someone cause less splendid self step away
38,anger,bit rud writ eld gentlem ask gift bit greedy christmas mild gree bite rude write elderly gentleman ask gift bite greedy christmas mild greed
39,joy,nee nee someon nee protect saf smal find season word need need someone need protect safe small find season word
40,joy,plan shar everyday lif story travel adv inspir handmad cre hop also inspir plan share everyday life stories travel adventure inspirations handmade creations hope also inspire
41,joy,already christmas tre got two fest sur spur get start book already christmas tree get two festive sure spur get start book
42,joy,worn littl cont day brav want pal perfect wear little concealer days brave want pale perfect
43,joy,strongly pass jerk decid pok mak fun us strongly passionate jerk decide poke make fun us
44,sadness,disco already rob pet pay paul get cow year afford get cow way discourage already rob peter pay paul get cow year afford get cow way
45,sadness,listless nee new thing someth diff listless need new things something different
46,joy,lost spec mind worry stil san want felt read book know many tim said sam spec guar many tim us paragraph tel spec lose special mind worry still sane want felt read book know many time say sam special guarantee many time use paragraph tell special
47,love,let go sad want acceiv first hom min let go sad want accept first home mine
48,joy,boat trip denmark boat trip denmark
49,anger,stop cold beg hot stop cold begin hot
50,joy,nee dough mak sur perfect need dough make sure perfect
51,sadness,found littl disco morn find little discourage morning
52,anger,self spoil selfish spoil
53,fear,stymy littl bit wrot uns might go somewh story unintend stymie little bite write unsure might go somewhere story unintended
54,joy,bag qaf look cryin jacynth lookin good feelin gorg rupa skin sciss sist valentin sun fed kayl daddy gerl awak unkind bag qaf look cryin jacynthe lookin good feelin gorgeous rupaul skin scissor sisters valentine sun feed kayle daddy gerling awake unkind
55,sadness,know bas lik fak realm sci fict know basically fake realm science fiction
56,sadness,hat liv dad roof giv excus asshol hes provid liv think nee mak unwelcom poss il leav hate live dads roof give excuse asshole hes provide live think need make unwelcome possible ill leave
57,surprise,keep pleas surpr support also eas new situ keep pleasantly surprise supportiveness also ease new situations
58,joy,anym vig sex act com ye misspelt cum day part begin fal anymore vigorous sexual activity come yes misspell cumming days part begin fall
59,joy,mom grac warm lov smil rob tim nurt heal mom graceful warm love smile rob time nurture heal
60,joy,talk broth law extrem popul on think stiff talk brother law extremely popular one think stiff
61,love,at could gentl tingl throughout almost heal tak plac cellul level eat could gentle tingle throughout almost heal take place cellular level
62,fear,lik press young beauty thin depend trend girl rejuv but impl pressure young beautiful thin depend trend girls rejuvenate butt implant
63,fear,beg sev tim week tort hallucin mov peopl fig sound vibr begin several time week torture hallucinations move people figure sound vibrations
64,surprise,near fin week detox amaz nearly finish week detox amaze
65,anger,self read back form post nev ask pray oth nev consid may oth deserv pray answ selfish read back former post never ask prayers others never consider may others deserve prayers answer
66,anger,know pain par enr child becom viol know pain parent enrage child become violent
67,sadness,rol coast emot suppos someth unpleas com roller coaster emotions suppose something unpleasant come
68,love,suppos tru nee shar faith lat dwel doubt uncertainty fai suppose truth need share faithful lately dwell doubt uncertainty faith
69,joy,brav bought clear makeup brave buy clearly makeup
70,sadness,mis c also proudest mum ear miserable c also proudest mum earth
71,sadness,fig famy lov us mat around anyon els embarrass michel goe bal figure family love us matter around anyone else embarrass michelle go ballistic
72,joy,necess think f bomb sex necess story reass see print journ necessarily think f bomb sex necessary stories reassure see print journals
73,sadness,ov ach talk lik put ovaries ache talk put
74,sadness,lik much chris most took many pict unimport stuff much chris mostly take many picture unimportant stuff
75,sadness,tir book ready find giv unsuit im blam result sit wel tire book ready find give unsuitable image blame result sit well
76,joy,success man stretch mxm canva achiev worthwhil us money tim us canva fut brief successfully manage stretch mxm canvas achievement worthwhile usage money time use canvas future brief
77,joy,think on nay import thing think one nay important things
78,joy,complet hon influ young tal ful al beauty girl wom completely honor influence young talented fully alive beautiful girl woman
79,anger,ang firey anger firey
80,sadness,lik mis piec garb miserable piece garbage
81,anger,lik nee mak list lean would appal thought miss anyth need make list leanne would appal think miss anything
82,anger,drov dannik school littl bit rush greet turn corn drive dannika school little bite rush greet turn corner
83,anger,rememb hellip fury shoot remember hellip furious shooter
84,joy,happy excit sint learn many thing happy excite since learn many things
85,joy,show around show hors peopl trust relax show hors saf quiet handl frequ show around show horse people trust relax show horse safe quiet handle frequently
86,joy,coupl thing left mak start decemb don smug couple things leave make start december do smug
87,joy,think could mak real everyth ok think could make realize everything ok
88,sadness,worthless tim struggling find work worthless time struggle find work
89,fear,abl lay bed dark terr least able lay bed dark terrify least
90,love,ready meet mom airport ev support arm around ready meet mom airport ever supportive arm around
91,anger,bit today mood strange entir day guess bitter today mood strange entire day guess
92,sadness,mum broth pass away involv car accid bring pres pass form fiv exam fly colo mums brother pass away involve car accident bring present pass form five exams fly colour
93,anger,let go animos toward anyon wrong let go animosity towards anyone wrong
94,love,talk dog understand word read emot know support decid go hom talk dog understand word read emotions know supportive decide go home
95,sadness,lik throwing away shitty piec shit pap throw away shitty piece shit paper
96,joy,start wry amus ban comedy er lif turn start wryly amuse banal comedy errors life turn
97,joy,find every body beauty want peopl vit body find every body beautiful want people vital body
98,sadness,hear own victim assocy assocy attorney property man hear owners victimize associations associations attorneys property manager
99,anger,say goodby fam sad cry lik heartless bitch hey pretty excit fly first tim know also spend year anoth country say goodbye fam sad cry heartless bitch hey pretty excite fly first time know also spend year another country
100,love,let child cry lov lily littl going opportun last short month let child cry love lily little go opportunities last short months
101,joy,alb good fit alba good fit
102,joy,excit lik ton catch excite ton catch
103,joy,also know good look back see hon word help start also know good look back see honor word help start
104,sadness,mean real real hard work obtain high techn skil wushu kind asham somehow mot saw kid wushu perform whol heart despit tir mean really really hard work obtain high technical skill wushu kind ashamed somehow motivate saw kid wushu performances whole heartedly despite tiredness
105,joy,lik thing get littl overwhelm spritz ton real help calm sooth things get little overwhelm spritz toner really help calm soothe
106,joy,hop real littl effort requir mak person bet situ wheth famy memb colleg high school friend neighb street ev complet stranger hope realize little effort require make person better situation whether family member college high school friend neighbor street even complete stranger
107,joy,fest today ev going put tre soon fin catch week going on coron street festive today even go put tree soon finish catch week go ons coronation street
108,joy,find il sery find ill seriously
109,sadness,alright class combin unsuccess man handl stress lat horr week result almost cry fin grappl alright class combination unsuccessful man handle stress late horrible week result almost cry finish grapple
110,joy,rar adv worthwhil alway stick rul post anyth onlin would prep say somebody fac rarely advance worthwhile always stick rule post anything online would prepare say somebody face
111,joy,us useful
112,love,lik pain imagin becom pass group ide caus pain pain imagine become passionate group idea cause pain
113,sadness,ug inclin wear ratty jean sweatshirt beauty dress though might stil wear pair heel around hous boost self esteem ev slight definit both buy new pair ugly incline wear ratty jeans sweatshirt beautiful dress though might still wear pair heel around house boost self esteem ever slightly definitely bother buy new pair
114,sadness,homesick yet alright homesick yet alright
115,joy,dant pretty dance pretty
116,joy,workout every morn fab workout every morning fabulous
117,sadness,ey touch word ey know ass return lov know shal vain eye touch word eye know assuredly return love know shall vain
118,joy,fab friday morn start get aw cramp work fabulous friday morning start get awful cramp work
119,joy,hono abl cal friend shar broth honour able call friends share brotherhood
120,fear,begun apprehend thick black rain cloud storm sky town begin apprehensive thick black rain cloud storm sky town
121,fear,stat reason fear unsaf state reason fearful unsafe
122,fear,lik get shak tsa quit yet pul sid cre croiss lunch get shake tsa quite yet pull side creative croissants lunch
123,sadness,get group real awkward overcompens talk get real quiet get group really awkward overcompensate talkative get really quiet
124,love,excit fin meet comp comp tim espec lon lon comp nev disappoint comp put arm around mak lov excite finally meet companion companion time especially lonely lonely companion never disappoint companion put arm around make love
125,joy,pretty saf blog img src http pretty safe blog img src http
126,joy,pretty eag get don fun plan quilt pretty eager get do fun plan quilt
127,love,horny ask let us go hom horny ask let us go home
128,fear,think poem put press uncomfort sens understand understand lov abl lov think poem put pressure uncomfortable sense understand understand love able love
129,surprise,stranger strange land rais son plac fath ancest hom stranger strange land raise son place father ancestral home
130,joy,left show quest gorg fantast body confid mov effortless grac leave shower question gorgeous fantastic body confident movement effortlessly graceful
131,joy,energet bount happy go gym run around outsid kid tak pram long walk oft three on day energetic bouncy happy go gym run around outside kid take pram long walk often three one day
132,joy,stil strong still strong
133,joy,burst tear devast releas thought seem know rich also go spac without dump burst tear devastate release thoughts seem know rich also go space without dump
134,anger,want get pumpkin spic lat morn hot last thing want hot coff mayb littl bit want get pumpkin spice latte morning hot last thing want hot coffee maybe little bitter
135,fear,suppos bad bit skept pain last month hyperchondr exag habit past though nev op quest suppose badly bite skeptical pain last months hyperchondria exaggeration habit past though never openly question
136,joy,clench corn bed ass clench corner bed assure
137,anger,also lik self grat lif amaz thing also selfish grateful life amaze things
138,love,cal god seen god book fig god right nam ut affirm acceiv without quest call god see god book figure god right name utterly affirm accept without question
139,anger,know perhap girl off nic short hair perhap rebel know perhaps girls office nice short hair perhaps rebellious
140,sadness,mis famy typ celebr eid miserable family type celebrate eid
141,joy,might go get car wash real gen car nee might go get car wash really generous car need
142,sadness,stil sleep depr almost sleep night giv us still sleep deprive almost sleep night give us
143,anger,real viol right really violent right
